index,family_1,trohpic level in our work,,,kingdom,phylum,order,family,genus,species,name,,level,diet,diet1,sealifebase_level,Paraphyletic group 0,Paraphyletic group 1,Functional group 0,Functional group 1,Functional group 2,Functional group 3,size 0,size 1,feedingtype 0,feedingtype 1,feedingtype 2,feedingtype 3,feedingtype 4,feedingtype 5,feedingtype 6,feedingtype 7,feedingtype 8,size 2,size 3,size 4,size 5,size 6,size 7,size 8,size 9,size 10,size 11,size 12,size 13,size 14,size 15,size 16,size 17,size 18,size 19,size 20
10,Soleidae,4,4,0,Animalia,Chordata,Gadiformes,Gadidae,Trisopterus,Trisopterus esmarkii,Trisopterus esmarkii,,4,carnivore,,,Pisces,,,,,,25,35,": endoparasitic,",": endoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",,,,19,,,,,,,,,,,,,,,,,,
11,Gymnodiniaceae,1,4,0,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus kitt,Microstomus kitt,,4,carnivore,,,Pisces,,,,,,66,65,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",: endoparasitic<\/small>,": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,
12,Nephtyidae,2,4,0,Animalia,Chordata,Gadiformes,Gadidae,Trisopterus,Trisopterus minutus,Trisopterus minutus,,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Callionymidae,3,5,0,Animalia,Chordata,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,Scyliorhinus canicula,真鲨目,5,carnivore (based on Carchariniformes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tellinidae,2,#N/A,#N/A,Animalia,Chordata,Cetartiodactyla,,,,Cetartiodactyla,鲸偶蹄目,5,carnivore (based on Carchariniformes),,,,,nekton,,,,>200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Capitellidae,2,3,0,Animalia,Chordata,Callionymiformes,Callionymidae,Callionymus,Callionymus lyra,Callionymus lyra,一些虾虎鱼种类与掘穴的虾类共生,3,carnivore,,,Pisces,,,,,,20,30,": endoparasitic,",: endoparasitic<\/small>,": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",15,25,,,,,,,,,,,,,,,,,
16,Scombridae,5,5,1,Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Merluccius merluccius,主要捕食小鱼、甲壳动物,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Protoperidiniaceae,1,#N/A,#N/A,Chromista,Ochrophyta,,,,,Ochrophyta,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Scyliorhinidae,5,#N/A,#N/A,Animalia,Annelida,,,,,Annelida,环节动物门,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Rajidae,4,5,0,Animalia,Chordata,Scombriformes,Scombridae,Scomber,Scomber scombrus,Scomber scombrus,鲭形目，以鱼类、头足类等为食,5,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Laridae,5,4,0,Animalia,Chordata,Carangiformes,Carangidae,Trachurus,Trachurus trachurus,Trachurus trachurus,大部份的种类主要捕食小鱼，亦有捕食软体动物或甲壳类者，或是以浮游无脊椎动物为食，像圆鲹属,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Acartiidae,2,2,0,Animalia,Mollusca,Cardiida,Tellinidae,Limecola,Limecola balthica,Limecola balthica,,2,deposit feeder,,,,,,,,,,,": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,
22,Merlucciidae,5,4,0,Animalia,Chordata,Pleuronectiformes,Soleidae,Solea,Solea solea,Solea solea,鲽形目，捕食小鱼虾,4,carnivore,,,Pisces,,,,,,50,70,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",: endoparasitic<\/small>,": ectoparasitic,",": ectoparasitic,",35,,,,,,,,,,,,,,,,,,
23,Phyllodocidae,2,1,0,Chromista,Ochrophyta,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,,Chaetoceros,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Temoridae,2,1,0,Chromista,Ochrophyta,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,Pseudo-nitzschia,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Thalassiosiraceae,1,#N/A,#N/A,Animalia,Arthropoda,,,,,Arthropoda,节肢动物,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ceratiaceae,1,2,0,Animalia,Annelida,,Orbiniidae,Scoloplos,Scoloplos armiger,Scoloplos armiger,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Carangidae,4,#N/A,#N/A,Animalia,Nemertea,,,,,Nemertea,纽形动物门，以微生物及有机物为食,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nereididae,2,2,0,Animalia,Mollusca,Galeommatida,Lasaeidae,Kurtiella,Kurtiella bidentata,Kurtiella bidentata,,2,suspension feeder (based on Lasaeidae),,,,,benthos,,,,3,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Peridiniaceae,1,3,0,Animalia,Chordata,Argentiniformes,Argentinidae,Argentina,Argentina sphyraena,Argentina sphyraena,水珍鱼,3,carnivore,,,Pisces,,,,,,35,20,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,,
30,Fragilariaceae,1,4,0,Animalia,Chordata,Gadiformes,Gadidae,Pollachius,Pollachius virens,Pollachius virens,,4,carnivore,,,Pisces,,,,,,100,130,": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",60,,,,,,,,,,,,,,,,,,
31,Cirratulidae,2,2,0,Animalia,Annelida,Phyllodocida,Nephtyidae,Nephtys,Nephtys hombergii,Nephtys hombergii,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Scophthalmidae,4,4,0,Animalia,Chordata,Rajiformes,Rajidae,Amblyraja,Amblyraja radiata,Amblyraja radiata,鳐目，以浮游生物和甲壳类为食物,4,carnivore (based on Rajiformes),,,Pisces,,,,,,75,105,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,
33,Prorocentraceae,1,2,0,Animalia,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,,2,deposit feeder, suspension feeder (based on Abra),,,,benthos,,,,1,2,deposit feeder,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",2.5,5,2.0 - 200 mm,,,,,,,,,,,,,,,,
34,Semelidae,2,#N/A,#N/A,Chromista,Ciliophora,Cyclotrichiida,Mesodiniidae,Mesodinium,Mesodinium rubrum,Mesodinium rubrum,色藻界,1,,,,,,mixoplankton > plastid Specialists Non-Constitutive Mixoplankton,plankton > microplankton,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hydrobiidae,3,4,0,Animalia,Chordata,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,,4,carnivore,,,Pisces,,,,,,40,50,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",": endoparasitic,",22,,,,,,,,,,,,,,,,,,
36,Argentinidae,3,2,0,Animalia,Arthropoda,Calanoida,Temoridae,Temora,Temora longicornis,Temora longicornis,水蚤,2,,,,,,plankton > zooplankton,plankton > mesoplankton,,,1,1.5,,,,,,,,,,0.2 - 2.0 mm,0.29,0.31,0.33,0.34,0.37,0.4,0.41,0.42,0.44,0.45,0.47,0.5,0.51,0.52,0.53,0.56,0.58,0.59
37,Mytilidae,2,2,0,Animalia,Mollusca,Mytilida,Mytilidae,Mytilus,Mytilus edulis,Mytilus edulis,,2,suspension feeder (based on Mytilus),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Syllidae,2,2,0,Animalia,Mollusca,Myida,Corbulidae,Varicorbula,Varicorbula gibba,Varicorbula gibba,,2,suspension feeder,,,,,benthos,,,,1.5,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Lasaeidae,2,2,0,Animalia,Annelida,Phyllodocida,Nereididae,Hediste,Hediste diversicolor,Hediste diversicolor,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,60,120,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,100,2.0 - 200 mm,,,,,,,,,,,,,,,,,
40,Terebellidae,2,#N/A,#N/A,Protozoa,,,,,,Protozoa,裸藻,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Polynoidae,2,4,0,Animalia,Chordata,Pleuronectiformes,Scophthalmidae,Lepidorhombus,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,鲽形目，捕食小鱼虾,4,carnivore,,,Pisces,,,,,,61,60,": ectoparasitic,",": endoparasitic,",": endoparasitic,",: endoparasitic<\/small>,": endoparasitic,",": endoparasitic,",,,,25,,,,,,,,,,,,,,,,,,
42,Skeletonemaceae,1,#N/A,#N/A,Chromista,Myzozoa,,,,,Myzozoa,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Orbiniidae,2,2,0,Animalia,Annelida,,Capitellidae,Heteromastus,Heteromastus filiformis,Heteromastus filiformis,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Dinophysaceae,1,2,0,Animalia,Arthropoda,Calanoida,Acartiidae,Acartia,,Acartia,水蚤,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Centropagidae,2,2,0,Animalia,Mollusca,Myida,Myidae,Mya,Mya arenaria,Mya arenaria,,2,suspension feeder (based on Myidae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Clausocalanidae,2,#N/A,#N/A,Animalia,Mollusca,,,,,Mollusca,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Geminigeraceae,1,#N/A,#N/A,Chromista,Myzozoa,Peridiniales,,,,Peridiniales,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ophiuridae,2,4,0,Animalia,Chordata,Pleuronectiformes,Soleidae,Buglossidium,Buglossidium luteum,Buglossidium luteum,鲽形目，捕食小鱼虾,4,carnivore,,,Pisces,,,,,,13,15,": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",8,,,,,,,,,,,,,,,,,,
49,Leptocylindraceae,1,2,0,Animalia,Annelida,Spionida,Spionidae,Pygospio,Pygospio elegans,Pygospio elegans,,2,detritivore,,,,,benthos > macrobenthos,,,,10,15,,,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
50,Mysidae,2,1,0,Chromista,Myzozoa,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,Gymnodinium,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amphiuridae,2,#N/A,#N/A,Animalia,Nematoda,,,,,Nematoda,线虫科,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chironomidae,2,1,0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,Thalassiosira,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Lotidae,4,2,0,Animalia,Annelida,Spionida,Spionidae,Spiophanes,Spiophanes bombyx,Spiophanes bombyx,,2,detritivore,,,,,benthos > macrobenthos,,,,0.15,5,,,,,,,,,,5.1,6,10,51,80,2.0 - 200 mm,,,,,,,,,,,,,
54,Corophiidae,2,1,0,Plantae,,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,Pyramimonas,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Glyceridae,2,1,0,Chromista,Ochrophyta,Thalassiosirales,Skeletonemaceae,Skeletonema,Skeletonema costatum,Skeletonema costatum,,1,photoautotroph (based on Centrales),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Myidae,2,2,0,Chromista,Foraminifera,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ammodytidae,4,2,0,Animalia,Arthropoda,Diptera,Chironomidae,,,Chironomidae,双翅目,2,,,,,,benthos,not applicable,,,0.2 - 2.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Corbulidae,2,4,0,Animalia,Chordata,Gadiformes,Lotidae,Enchelyopus,Enchelyopus cimbrius,Enchelyopus cimbrius,主要捕食小鱼、甲壳动物,4,carnivore,,,Pisces,,,,,,41,30,": ectoparasitic,",": endoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",: endoparasitic<\/small>,": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,
59,Pholoidae,2,#N/A,#N/A,Chromista,Ciliophora,,,,,Ciliophora,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hemiaulaceae,1,3,0,Animalia,Mollusca,Littorinimorpha,Hydrobiidae,Hydrobia,,Hydrobia,螺,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Cardiidae,2,4,0,Animalia,Chordata,Perciformes,Agonidae,Agonus,Agonus cataphractus,Agonus cataphractus,鲈形目,4,carnivore,,,Pisces,,,,,,15,21,": endoparasitic,",: endoparasitic<\/small>,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",14,,,,,,,,,,,,,,,,,,
62,Ampharetidae,2,1,0,Chromista,Ochrophyta,Fragilariales,Fragilariaceae,Synedra,Synedra nitzschioides,Synedra nitzschioides,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Naididae,2,4,0,Animalia,Chordata,Perciformes,Triglidae,Chelidonichthys,Chelidonichthys cuculus,Chelidonichthys cuculus,鲈形目,4,carnivore (based on Scorpaeniformes),,,Pisces,,,,,,30,50,": endoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",27.6,20.4,,,,,,,,,,,,,,,,,
64,Veneridae,2,4,0,Animalia,Chordata,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus laterna,Arnoglossus laterna,鲽形目，捕食小鱼虾,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Heterocapsaceae,1,3,0,Animalia,Mollusca,Littorinimorpha,Hydrobiidae,Peringia,Peringia ulvae,Peringia ulvae,螺,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ampeliscidae,2,1,0,Chromista,Myzozoa,Dinophysiales,Dinophysaceae,Dinophysis,Dinophysis acuminata,Dinophysis acuminata,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Pyramimonadaceae,1,1,0,Chromista,Ochrophyta,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,Rhizosolenia,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Gobiidae,4,1,0,Chromista,Myzozoa,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,Prorocentrum micans,,1,,,,Algae,,plankton > microplankton,plankton > nanoplankton,mixoplankton > Constitutive Mixoplankton,,20,50,,,,,,,,,,<0.2 mm,,,,,,,,,,,,,,,,,,
69,Calanidae,2,2,0,Animalia,Arthropoda,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus elongatus,Pseudocalanus elongatus,水蚤,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bothidae,4,1,0,Chromista,Ochrophyta,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia delicatula,Rhizosolenia delicatula,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Maldanidae,2,2,0,Animalia,Arthropoda,Calanoida,Centropagidae,Centropages,Centropages hamatus,Centropages hamatus,水蚤,2,,,,,,plankton > zooplankton,plankton > mesoplankton,,,0.9,1.1,,,,,,,,,,1.3,1.5,1.4,0.2 - 2.0 mm,0.28,0.31,0.34,0.35,0.39,0.41,0.42,0.43,0.45,0.48,0.51,0.54,0.56,0.58,0.6
72,Serpulidae,2,3,-1,Animalia,Chordata,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus scorpius,Myoxocephalus scorpius,鲈形目,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Cottidae,3,1,0,Chromista,Ochrophyta,Bacillariales,Bacillariaceae,,,Bacillariaceae,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Oweniidae,2,2,0,Chromista,Foraminifera,Rotaliida,Globigerinidae,Globigerina,Globigerina bulloides,Globigerina bulloides,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Pectinariidae,2,2,0,Animalia,Annelida,Terebellida,Pectinariidae,Lagis,Lagis koreni,Lagis koreni,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Mactridae,2,#N/A,#N/A,Chromista,Cryptophyta,Cryptomonadales,,,,Cryptomonadales,,1,,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Polybiidae,3,2,0,Animalia,Arthropoda,Amphipoda,Pontoporeiidae,Monoporeia,Monoporeia affinis,Monoporeia affinis,,2,omnivore (based on Malacostraca),,2,,,benthos > macrobenthos,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Paraonidae,2,4,0,Animalia,Arthropoda,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Nephrops norvegicus,十足目,4,carnivore (based on Decapoda),,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Loliginidae,4,1,0,Chromista,Haptophyta,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,,Chrysochromulina,,1,photoautotroph (based on Haptophyta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pharidae,2,4,0,Animalia,Chordata,Gadiformes,Gadidae,Trisopterus,Trisopterus luscus,Trisopterus luscus,,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Lumbrineridae,2,3,0,Animalia,Mollusca,Neogastropoda,Muricidae,Nucella,Nucella lapillus,Nucella lapillus,新腹足目,3,carnivore (based on Muricidae),,,,,benthos,,,,30,20,predator,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",1,4.2,,,,,,,,,,,,,,,,,
82,Trachinidae,4,1,0,Chromista,Ochrophyta,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia seriata,Pseudo-nitzschia seriata,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Lithodesmiaceae,1,1,0,Chromista,Myzozoa,Peridiniales,Peridiniaceae,Scrippsiella,,Scrippsiella,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Gammaridae,2,1,0,Chromista,Myzozoa,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,Heterocapsa rotundata,,1,,,,Algae,,plankton > microplankton,mixoplankton > Constitutive Mixoplankton,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Bathyporeiidae,2,2,0,Animalia,Annelida,Phyllodocida,Nephtyidae,Nephtys,,Nephtys,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Oithonidae,2,5,1,Animalia,Chordata,Lophiiformes,Lophiidae,Lophius,Lophius piscatorius,Lophius piscatorius,状似小鱼，会发出亮光，吸引小生物成为它们的食物,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Diastylidae,2,4,0,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,,4,carnivore,,,Pisces,,,,,,60,,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,
88,Nuculidae,2,2,0,Animalia,Arthropoda,Amphipoda,Corophiidae,Corophium,Corophium volutator,Corophium volutator,,2,omnivore (based on Malacostraca),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Coscinodiscaceae,1,4,0,Animalia,Chordata,Perciformes,Trachinidae,Echiichthys,Echiichthys vipera,Echiichthys vipera,鲈形目,4,carnivore (based on Perciformes),,,Pisces,,,,,,14,15,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",10,,,,,,,,,,,,,,,,,,
90,Phoronidae,2,1,0,Chromista,Ochrophyta,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia longissima,Nitzschia longissima,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Magelonidae,2,1,0,Chromista,Myzozoa,Peridiniales,Protoperidiniaceae,Protoperidinium,,Protoperidinium,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Muricidae,3,1,0,Chromista,Cryptophyta,Pyrenomonadales,Geminigeraceae,Plagioselmis,Plagioselmis prolonga,Plagioselmis prolonga,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Pontoporeiidae,2,2,0,Animalia,Echinodermata,Ophiurida,Ophiuridae,Ophiura,Ophiura albida,Ophiura albida,,2,detritivore, suspension feeder (based on Ophiuroidea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Agonidae,4,1,0,Chromista,Myzozoa,Gymnodiniales,Gymnodiniaceae,Gyrodinium,,Gyrodinium,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Podonidae,2,1,0,Chromista,Myzozoa,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium spirale,Gyrodinium spirale,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Globigerinitidae,2,2,0,Animalia,Arthropoda,Calanoida,Temoridae,Eurytemora,,Eurytemora,水蚤,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
